"","EntryPublished","quarter","the_day","EntryTitle","region","keyword","dayweek","month","year","RSS","EntryContent"
"96","March 19, 2024 at 07:05PM",1,2024-03-19,"The Worst Argument for Youth Transition - The Atlantic",NA,"gender ideology","Tuesday",3,2024,"8717893479030415655","Treating <b>gender</b> dysphoria as a clinical diagnosis with a medical solution, Chu argues, has “hung trans rights on the thin peg of <b>gender</b> identity”—the&nbsp;..."
"97","March 12, 2024 at 10:37AM",1,2024-03-12,"Are Gen Z Men and Women Really Drifting Apart? - The Atlantic",NA,"gender ideology","Tuesday",3,2024,"8717893479030415655","Many of the polls that show a widening <b>gender</b> divide ask about <b>ideology</b>. But research shows that many people don&#39;t have a clear idea of what the&nbsp;..."
"98","March 12, 2024 at 07:08AM",1,2024-03-12,"The Myth of the Gen Z Gender Divide - The Atlantic",NA,"gender ideology","Tuesday",3,2024,"8717893479030415655","Burn-Murdoch&#39;s analysis featured several eye-popping graphs that appeared to show a huge <b>ideological</b> rift opening up between young men and young women&nbsp;..."
"99","February 11, 2024 at 06:26PM",1,2024-02-11,"Does everything need a live-action remake? - The Atlantic","USA","gender identity","Sunday",2,2024,"4028362110021709687","I Heard Her Call My Name, by Lucy Sante, a memoir about coming to terms with <b>gender identity</b> and navigating a journey of transition (out Tuesday)&nbsp;..."
"100","January 31, 2024 at 10:35AM",1,2024-01-31,"A Rainbow Coalition of Haters - The Atlantic",NA,"gender ideology","Wednesday",1,2024,"8717893479030415655","One can hold traditional beliefs about <b>gender</b> for religious or <b>ideological</b> reasons and still acknowledge or support the rights of those who do not."
"101","December 07, 2023 at 10:34AM",4,2023-12-07,"Trump's Plan to Police Gender - The Atlantic","all regions","gender identity","Thursday",12,2023,"14792114867614311782","Then, while in office, he oversaw a broad rollback of LGBTQ protections, removing <b>gender identity</b> and sexuality from federal nondiscrimination&nbsp;..."
"102","December 07, 2023 at 10:34AM",4,2023-12-07,"Trump's Plan to Police Gender - The Atlantic","USA","gender identity","Thursday",12,2023,"4028362110021709687","Then, while in office, he oversaw a broad rollback of LGBTQ protections, removing <b>gender identity</b> and sexuality from federal nondiscrimination&nbsp;..."
"103","October 23, 2023 at 04:21PM",4,2023-10-23,"The Atlantic's 2023 Report on Diversity & Inclusion","USA","gender identity","Monday",10,2023,"4028362110021709687","We are mindful that the data in this report do not include every measure of identity (e.g., sexual orientation, <b>gender identity</b>, socioeconomic status,&nbsp;..."
"104","October 23, 2023 at 04:21PM",4,2023-10-23,"The Atlantic's 2023 Report on Diversity & Inclusion","all regions","gender identity","Monday",10,2023,"14792114867614311782","We are mindful that the data in this report do not include every measure of identity (e.g., sexual orientation, <b>gender identity</b>, socioeconomic status,&nbsp;..."
"105","September 26, 2023 at 09:07AM",3,2023-09-26,"Where the New Identity Politics Went Wrong - The Atlantic",NA,"gender ideology","Tuesday",9,2023,"8717893479030415655","Don&#39;t let right-wing culture warriors obscure the fact that some ideas behind this progressive <b>ideology</b> have genuine problems ... <b>gender</b>, and sexual&nbsp;..."
"106","September 11, 2023 at 08:36AM",3,2023-09-11,"Red States Are Rolling Back the Rights Revolution - The Atlantic","all regions","transgender","Monday",9,2023,"1916116072231156194","Of all the issues affecting <b>transgender</b> people, litigation against the statutes passed in 22 Republican-controlled states barring gender-affirming&nbsp;..."
"107","September 10, 2023 at 11:33AM",3,2023-09-10,"Red States Are Rolling Back the Rights Revolution - The Atlantic","USA","transgender","Sunday",9,2023,"11193014132467407489","Two federal circuit courts have also blocked the enforcement of laws in Idaho and West Virginia barring <b>transgender</b> girls from participating on female&nbsp;..."
"108","August 25, 2023 at 09:41PM",3,2023-08-25,"The 2024 U.S. Presidential Race: A Cheat Sheet - The Atlantic",NA,"gender ideology","Friday",8,2023,"8717893479030415655","“Faith, patriotism, and hard work have disappeared, only to be replaced by new secular religions like COVIDism, climatism, and <b>gender ideology</b>.”."
"109","August 08, 2023 at 07:37AM",3,2023-08-08,"The British Left Makes a Sharp Turn on Gender - The Atlantic","USA","biological sex","Tuesday",8,2023,"16843718063138847601","... of an embattled transgender minority, accept the importance of <b>biological sex</b> to public policy, and look for political and social compromises."
"110","August 08, 2023 at 07:37AM",3,2023-08-08,"The British Left Makes a Sharp Turn on Gender - The Atlantic","all regions","biological sex","Tuesday",8,2023,"17630397442231169432","... of an embattled transgender minority, accept the importance of <b>biological sex</b> to public policy, and look for political and social compromises."
"111","June 21, 2023 at 11:27AM",2,2023-06-21,"The Gaps Between Media and Reality - The Atlantic","all regions","biological sex","Wednesday",6,2023,"17630397442231169432","... individuals whose identities conflict with their <b>biological sex</b>. ... who seemed to identify as a different gender than their <b>biological sex</b>."
"112","June 21, 2023 at 11:27AM",2,2023-06-21,"The Gaps Between Media and Reality - The Atlantic","USA","biological sex","Wednesday",6,2023,"16843718063138847601","... individuals whose identities conflict with their <b>biological sex</b>. ... who seemed to identify as a different gender than their <b>biological sex</b>."
"113","May 19, 2023 at 04:06AM",2,2023-05-19,"The Problem With State Bans on Gender Care - The Atlantic",NA,"gender ideology","Friday",5,2023,"8717893479030415655","The Problem With State Bans on <b>Gender</b> Care ... picture of what happens in the treatment room when therapists make <b>ideology</b> central to their work:."
"114","May 19, 2023 at 04:40PM",2,2023-05-19,"How the Right and the Left Switched Sides on Big Business - The Atlantic",NA,"gender ideology","Friday",5,2023,"8717893479030415655","... were friendlier to corporations than their ideological opponents, and that the ... virtually overnight, because it endorsed <b>gender ideology</b>."
"115","May 15, 2023 at 12:20PM",2,2023-05-15,"Vivek Ramaswamy, Primary Entrepreneur - The Atlantic",NA,"gender ideology","Monday",5,2023,"8717893479030415655","... he explained, and people are turning toward “racial wokeism” and “radical <b>gender ideology</b>” to fill the emptiness inside."
"116","May 08, 2023 at 08:22AM",2,2023-05-08,"Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432","The policy represents the first time the administration has acknowledged that <b>biological sex</b>—our physical forms as male or female, depending on&nbsp;..."
"117","May 08, 2023 at 08:22AM",2,2023-05-08,"Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","transgender","Monday",5,2023,"1916116072231156194","The administration&#39;s nuanced position on <b>transgender</b> athletes offers a path forward on a complex issue."
"118","May 08, 2023 at 08:22AM",2,2023-05-08,"Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782","... women and girls—perhaps most famously the swimmer Lia Thomas—are pushing to be included in sports programs that match their <b>gender identity</b>."
"119","May 08, 2023 at 05:15PM",2,2023-05-08,"Another Side of the Gender Debate - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432","However, “<b>biological sex</b>” is not nearly as binary as people believe it to be. Many trans people have been treated medically for a long time and&nbsp;..."
"120","May 08, 2023 at 05:15PM",2,2023-05-08,"Another Side of the Gender Debate - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782","In reality, we can let most of this be and let children be themselves without the need to help crystallize a specific <b>gender identity</b>."
"121","May 08, 2023 at 08:22AM",2,2023-05-08,"Why Biden's New School-Sports Rule Matters - The Atlantic","USA","transgender","Monday",5,2023,"11193014132467407489","The administration&#39;s nuanced position on <b>transgender</b> athletes offers a path forward on a complex issue."
"122","May 08, 2023 at 08:22AM",2,2023-05-08,"Why Biden's New School-Sports Rule Matters - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687","... women and girls—perhaps most famously the swimmer Lia Thomas—are pushing to be included in sports programs that match their <b>gender identity</b>."
"123","May 08, 2023 at 08:58AM",2,2023-05-08,"Why Biden's New School-Sports Rule Matters - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601","The policy represents the first time the administration has acknowledged that <b>biological sex</b>—our physical forms as male or female, depending on&nbsp;..."
"124","May 08, 2023 at 04:59PM",2,2023-05-08,"Another Side of the Gender Debate - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601","However, “<b>biological sex</b>” is not nearly as binary as people believe it to be. Many trans people have been treated medically for a long time and&nbsp;..."
"125","May 08, 2023 at 05:15PM",2,2023-05-08,"Another Side of the Gender Debate - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687","In reality, we can let most of this be and let children be themselves without the need to help crystallize a specific <b>gender identity</b>."
"126","May 08, 2023 at 04:59PM",2,2023-05-08,"Another Side of the Gender Debate - The Atlantic",NA,"gender ideology","Monday",5,2023,"8717893479030415655","Having studied <b>ideological</b> movements back in graduate school, I believe that the current trans movement is a decentralized extremist <b>ideology</b>. The&nbsp;..."
"127","May 08, 2023 at 05:15PM",2,2023-05-08,"Another Side of the Gender Debate - The Atlantic",NA,"transgenderism","Monday",5,2023,"15658552694435684511","<b>Transgenderism</b> is not a political statement but a complicated issue that can destroy someone&#39;s life if handled badly. Grasp the reality, and theory&nbsp;..."
"128","May 01, 2023 at 04:40PM",2,2023-05-01,"What Readers Really Think About Gender - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432","... to “make” their kid conform their gender to their <b>biological sex</b>, that we are just rushing headlong into embracing our child&#39;s trans identity."
"129","May 01, 2023 at 04:40PM",2,2023-05-01,"What Readers Really Think About Gender - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782","My wife and I finally came to terms with our son&#39;s <b>gender identity</b> three years ago when he was seven-and-a-half. Our son was getting increasingly&nbsp;..."
"130","May 01, 2023 at 04:06PM",2,2023-05-01,"What Readers Really Think About Gender - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601","... to “make” their kid conform their gender to their <b>biological sex</b>, that we are just rushing headlong into embracing our child&#39;s trans identity."
"131","May 01, 2023 at 04:40PM",2,2023-05-01,"What Readers Really Think About Gender - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687","My wife and I finally came to terms with our son&#39;s <b>gender identity</b> three years ago when he was seven-and-a-half. Our son was getting increasingly&nbsp;..."
"132","April 30, 2023 at 07:43AM",2,2023-04-30,"Ron DeSantis's Vision of Freedom Is Unconstitutional - The Atlantic","USA","gender identity","Sunday",4,2023,"4028362110021709687","... public schools from engaging in any classroom discussion or instruction about sexual orientation or <b>gender identity</b> prior to fourth grade."
"133","April 30, 2023 at 11:04AM",2,2023-04-30,"Ron DeSantis's Vision of Freedom Is Unconstitutional - The Atlantic","all regions","gender identity","Sunday",4,2023,"14792114867614311782","... the law forbids public schools from engaging in any classroom discussion or instruction about sexual orientation or <b>gender identity</b> prior to&nbsp;..."
"134","April 21, 2023 at 05:28PM",2,2023-04-21,"How the Gender Debate Veered Off Track - The Atlantic","USA","gender identity","Friday",4,2023,"4028362110021709687","... issue related to <b>gender identity</b>, transgender rights, gender medicine, ... like “How ought we to understand sex, gender, and <b>gender identity</b>?"
"135","April 21, 2023 at 05:28PM",2,2023-04-21,"How the Gender Debate Veered Off Track - The Atlantic","all regions","gender identity","Friday",4,2023,"14792114867614311782","... issue related to <b>gender identity</b>, transgender rights, gender medicine, ... like “How ought we to understand sex, gender, and <b>gender identity</b>?"
"136","April 21, 2023 at 05:28PM",2,2023-04-21,"How the Gender Debate Veered Off Track - The Atlantic",NA,"transgenderism","Friday",4,2023,"15658552694435684511","Observing the country&#39;s major divides on gender and <b>transgenderism</b>, I see an issue that is as disorienting for participants and observers as any&nbsp;..."
"137","April 21, 2023 at 06:58PM",2,2023-04-21,"How the Gender Debate Veered Offtrack - The Atlantic",NA,"gender ideology","Friday",4,2023,"8717893479030415655","We in the West are in the grip of an <b>ideology</b> that disowns our genius, denounces our success, disdains merit, elevates victimhood, embraces societal&nbsp;..."
"138","April 02, 2023 at 05:03PM",2,2023-04-02,"The Hogwarts Legacy Boycott That Wasn't - The Atlantic","all regions","biological sex","Sunday",4,2023,"17630397442231169432","... such as prisons and domestic-violence shelters, should be protected on the basis of <b>biological sex</b> rather than self-declared gender, and that&nbsp;..."
"139","January 22, 2023 at 04:05PM",1,2023-01-22,"The Culture Wars Look Different on Wikipedia - The Atlantic","all regions","gender identity","Sunday",1,2023,"14792114867614311782","The site is tackling more controversial edits, the results of which can reverberate across the internet."
"140","January 22, 2023 at 10:10PM",1,2023-01-22,"The Culture Wars Look Different on Wikipedia - The Atlantic","USA","gender identity","Sunday",1,2023,"4028362110021709687","The site is tackling more controversial edits, the results of which can reverberate across the internet."
